action_queue_id,month_id,period_start,period_end,outlet_id,outlet_name,action_type,action_theme,management_signal,recommended_action,revenue_impact_direction,team_impact_direction,execution_priority_score,manager_note,action_priority_rank,execution_priority
MAQ_00001,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.947445961367876,balanced commercial and operational conditions with manageable managerial control needs,1,normal
MAQ_00002,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.772555687891344,balanced commercial and operational conditions with manageable managerial control needs,2,normal
MAQ_00003,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,outlet_management,balanced_control,stable_controlled_growth,maintain balanced commercial and operational control,protective,neutral,30.76425205303207,balanced commercial and operational conditions with manageable managerial control needs,3,normal
MAQ_00004,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.594347587831738,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",4,normal
MAQ_00005,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,23.05741479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",5,normal
MAQ_00006,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,22.98413078429628,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",6,normal
MAQ_00007,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,22.786607270588235,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",7,normal
MAQ_00008,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.473826117647054,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",8,normal
MAQ_00009,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,21.367848870588233,therapist performance pattern is stable with manageable coaching need,9,normal
MAQ_00010,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,20.964732258823524,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",10,normal
MAQ_00011,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_001,Valletta,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,20.525347587831742,maintain and monitor treatment line performance within current operating rhythm,11,normal
MAQ_00012,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,20.508335270588233,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",12,normal
MAQ_00013,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,treatment_opportunity,yield_optimization,yield_optimization,"review pricing, package design, and treatment mix for yield uplift",upside,neutral,20.43841479969363,"yield can be improved through pricing, package design, or sales mix without immediate capacity pressure",13,normal
MAQ_00014,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_002,Sliema,treatment_opportunity,maintain_monitor,maintain_monitor,maintain and monitor treatment line performance,protective,neutral,19.92413078429628,maintain and monitor treatment line performance within current operating rhythm,14,normal
MAQ_00015,2017-01,2017-01-01,2017-01-31,MLT_OUTLET_003,St Julians,therapist_coaching,stable,stable,maintain routine coaching cadence,protective,stabilize,19.36086571764706,"underutilized therapist capacity; review shift design, demand matching, and booking conversion",15,normal
