decision_group,rule_id,decision_name,decision_scope,if_condition,then_decision,business_reason,example_treatment,example_outcome
position_assignment,DEC_001,entry_price_position,all treatments,menu_recommended_price <= 69,assign pricing_position_label = entry,supports accessible entry-level menu architecture,reflexology,45 min / 69 / entry
position_assignment,DEC_002,core_price_position,all treatments,menu_recommended_price between 70 and 89,assign pricing_position_label = core,represents main commercial menu zone,massage,60 min / 89 / core
position_assignment,DEC_003,premium_price_position,all treatments,menu_recommended_price >= 99,assign pricing_position_label = premium,captures premium or extended-session menu pricing,hot_stone,75 min / 109 / premium
cost_profile_assignment,DEC_004,material_led_profile,material-heavy treatments,treatment/category/note indicates material intensity,assign material_cost_ratio = 0.18 and cost_structure_note = material-led cost profile,consumable exposure is meaningfully higher,scrub,material-led cost profile
cost_profile_assignment,DEC_005,labor_led_profile,labor-and-time led treatments,positioning_note indicates labor-and-time led treatment,"assign labor_cost_ratio = 0.30 base, plus duration uplift if applicable",therapist time is the dominant cost driver,deep_tissue,labor_cost_ratio = 0.30
duration_adjustment,DEC_006,long_session_labor_uplift,sessions >= 75 minutes,session_duration_min >= 75,increase labor_cost_ratio by +0.03,longer sessions create higher therapist-time exposure,hot_stone,labor_cost_ratio = 0.33
ladder_logic,DEC_007,avoid_flat_duration_ladder,same pricing_position_label across durations,longer duration price <= shorter duration price,raise longer duration by one commercial step (+10),prevents non-credible menu ladders,hot_stone,75 min premium adjusted from 99 to 109
commercial_harmonization,DEC_008,replace_statistical_average_with_commercial_anchor,summary menu view,average price point creates awkward output such as 87,use commercial median anchor instead,menu pricing should be readable and market-facing,60-minute core group,89 used instead of 87
menu_reconciliation,DEC_009,recompute_menu_economics_after_price_override,rows where menu_recommended_price != final_recommended_price_point,displayed menu price changes after harmonization,"recompute cost proxies, gross profit proxy, and net profit proxy using menu price basis",profitability must stay aligned with displayed menu pricing,deep_tissue,79 base price changed to 89 menu price; economics recomputed
validation,DEC_010,keep_final_price_inside_band,all treatments,final or menu price is assigned,validate against recommended_reference_band where applicable,prevents contradiction between band guidance and final pricing,massage,89 remains inside 80-100
portfolio_state,STATE_001,current_locked_price_points,final locked menu sheet,review final state,"current menu price points are 69,89,99,109",10 treatments documented in locked final sheet,all_treatments,"69,89,99,109"
