outlet_name_final,address_raw,opening_hours_raw,treatment_examples_raw,price_eur_min,price_eur_max,price_eur_raw,rating,review_count,treatment_room_count,hotel_room_count,facilities_raw,capacity_note_raw,contact_raw,enrich_source_urls,location_text,source_name,source_url,outlet_name_final_v2,name_valid_flag,name_address_flag,name_generic_flag,dedupe_key,outlet_name
66 Saint Paul's & Spa,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Myoka Ltd. 40 Windsor Court Flat 2B, Windsor Terrace, Sliema SLM 1856 tel: +356 2157 2156 e-mail: info@myoka.com Mon - Fri: 9am - 5pm VAT MT15675310 Registration number: C23120 | Paul's Bay, Malta T: +356 2788 8408, E: salini@myoka.comMon - Sun: 9am - 7pm 66 Saint Paul's & Spa - by appointment only 66 St.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,,,+356 2137 0194 | +356 2137 0163 | +356 23561191 | +356 2157 7500 | +356 2788 8408 | +356 2711 0933 | hilton@myoka.comMon | lotus@myoka.comMon | goldensands@myoka.comMon | doubletree@myoka.comMon | salini@myoka.comMon | sixtysix@myoka.comMon | +35621370194 | hilton@myoka.com | +35621370163,https://myoka.com/contact-us,"66 St. Pauls Street, Valletta, Malta",myoka_contact,https://myoka.com/contact-us,66 Saint Paul's & Spa,True,True,False,66 saint paul's &,66 Saint Paul’s & Spa - by appointment only
AX Odycy Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,ax odycY - QAWRA,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,AX Odycy Spa,True,False,False,ax odycy,ax odycY - QAWRA
Carisma Spa & Wellness,"CONTACT +356 2137 7600 Toll Free: +800 1800 1800 Malta@ihg.com St. George's Bay, St. Julian's STJ 3310, Malta IHG BRANDS | +356 2137 7600 Toll Free: +800 1800 1800 Malta@ihg.com St. George's Bay, St. Julian's STJ 3310, Malta | ©2022 InterContinental Malta. All Rights Reserved. This hotel is owned and operated by the Eden Leisure Group.",OPENING HOURS,massage | body treatment,,,,,,,,hammam,,,https://malta.intercontinental.com/spa,,official,https://malta.intercontinental.com/spa,Carisma Spa & Wellness,True,False,False,carisma &,CARISMA SPA & WELLNESS
Carisma Spa Malta,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,,massage | facial | scrub | wrap | deep tissue | swedish | hot stone | reflexology,25.0,200.0,"€25, €55, €59, €99, €100, €200",,1.0,,,sauna | steam room | steam | indoor pool | outdoor pool | jacuzzi | hammam | fitness | thermal | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/,,official,https://www.carismaspa.com/,Carisma Spa Malta,True,False,False,carisma,Carisma Spa Malta
DoubleTree by Hilton Malta,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | 66 St. Paul's & Spa | PAYMENT All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards. | All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | hammam | fitness,,hilton@myoka.com?subject=I'd like to book an appointment | +35621370194,https://myoka.com/locations,"A charming coastal escape in Qawra, with views of the Mediterranean Sea and St. Paul’s Islands. Enjoy a multisensory journey with five-star facilities.",myoka_locations,https://myoka.com/locations,DoubleTree by Hilton Malta,True,False,False,doubletree by hilton,DoubleTree by Hilton
Essensi Spa,"Contact Us Online Form phone (+356) 2166 1111 email reservations@inialamalta.com | 11 St Barbara Bastion, Valletta, Malta Copyright 2022, Iniala Harbour House Built by Bison facebook instagram | 11 St Barbara Bastion, Valletta, Malta Copyright 2022, Iniala Harbour House Built by Bison | 11 St Barbara Bastion, Valletta, Malta | We will select the best mix of therapies for you, paired with signature aromatherapy blends and some of the most exclusive beauty brands available.",opening hours Daily 10:00 am to 7:00 pm Kindly note that access to the hotel pool is limited to guests 16 years old and above. | opening hours | Daily 10:00 am to 7:00 pm,aromatherapy,,,,,,,,sauna | relaxation area | heated pool | treatment rooms,,%20(+356)%202166%201111 | info@essensispa.com?subject=Booking | 0035622583602 | info@essensispa.com | (+356) 2166 1111 | reservations@inialamalta.com,https://inialamalta.com/spa/,,official,https://inialamalta.com/spa/,Essensi Spa,True,False,False,essensi,Essensi Spa
Grand Hotel Excelsior Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,grand hotel excelsior - valletta,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Grand Hotel Excelsior Spa,True,False,False,grand excelsior,grand hotel excelsior - valletta
Hilton Malta,"Biologique Recherche Face & Body Treatments Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | Discover the most innovative and scientific approach to beauty, based on advanced dermo-cosmetic analysis tailored to your Skin Instant©. | 66 St. Paul's & Spa | PAYMENT All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards. | All bookings must be prepaid at the time of making the reservation. All reservations are pre-charged to your credit or debit card. We accept cash, cheques and all major credit cards.",Start Week Escapes Best seasonal packages at the most pleasant prices. Available Monday to Thursday. | Best seasonal packages at the most pleasant prices. Available Monday to Thursday.,,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | hammam | fitness,,hilton@myoka.com?subject=I'd like to book an appointment | +35621370194,https://myoka.com/locations,Hilton Malta,myoka_locations,https://myoka.com/locations,Hilton Malta,True,False,False,hilton,Hilton Malta
Hugo's H Hotel Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,hugo's h hotel - st. julian's,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Hugo's H Hotel Spa,True,False,False,hugo's h,hugo's h hotel - st. julian's
Hyatt Regency Malta Spa,AWARD-WINNING CHAIN over 4000+ reviews 35+ YEARS OF EXCELLENCE | over 4000+ reviews,Facilities - Indoor Pool - Sauna - Steam Room - Cold Plunge - Bucket Shower - Couple's Massage Room operating hours Monday - Sunday 09:00 - 19:00 Including Public Holidays address 60 Triq Sir Frederick C. | operating hours Monday - Sunday 09:00 - 20:00 Including Public Holidays | Monday - Sunday 09:00 - 20:00 Including Public Holidays,massage | couples massage,,,,,,,,sauna | steam room | steam | indoor pool | jacuzzi | gym | fitness | salt room,,+356 27802062 | carismawellness@gmail.com,https://www.carismaspa.com/carisma-spa-locations-in-malta,hyatt regency - st. julian's,carisma_locations,https://www.carismaspa.com/carisma-spa-locations-in-malta,Hyatt Regency Malta Spa,True,False,False,hyatt regency,hyatt regency - st. julian's
