treatment_category,treatment_variant,session_duration_min,pricing_position_label,recommended_reference_band,final_recommended_price_point,menu_recommended_price,gross_profit_proxy_per_treatment,gross_margin_proxy_percent,net_profit_proxy_per_treatment,net_margin_proxy_percent,cost_structure_note,positioning_note
reflexology,standard,45,entry,60-80,69,69,41.4,60.0,33.12,48.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone
scrub,standard,45,entry,60-80,69,69,38.64,56.0,30.36,44.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design
aromatherapy,standard,60,core,80-100,89,89,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design
body_treatment,standard,60,core,80-100,89,89,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design
deep_tissue,standard,60,core,70-90,79,89,47.4,60.0,36.34,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone
facial,basic,60,core,80-100,89,89,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design
massage,standard,60,core,80-100,89,89,53.4,60.0,40.94,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone
swedish,standard,60,core,80-100,89,89,53.4,60.0,40.94,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone
wrap,standard,60,premium,90-110,99,99,55.44,56.0,41.58,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design
hot_stone,standard,75,premium,90-110,99,109,56.43,57.0,40.59,41.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone
