market_regime,regime_label,event_flag,market_note,period_regime_impact_note,managerial_interpretation,profitability_pressure_flag,status
pre_covid_growth,Pre-COVID Growth,normal_growth,"Tourism-led market expansion and relatively stable demand environment.","Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.","Growth environment supports commercial optimization without emergency intervention.",no,active
pre_shock_softening,Pre-Shock Softening,early_risk_signal,"Early market softening before the full COVID disruption.","Softening phase: monitor conversion and protect booking quality before demand shock deepens.","Use caution in pricing and preserve customer retention.",yes,active
covid_lockdown,COVID Lockdown,lockdown_shock,"Severe external demand shock driven by lockdowns, travel collapse, and operating restrictions.","Demand shock likely external: protect team, preserve cash discipline, and avoid overreacting on price.","Focus on survival mode, workload protection, and leakage control rather than aggressive growth.",yes,active
covid_partial_reopen,COVID Partial Reopen,partial_reopen,"Demand remains weak but starts to recover unevenly under reopening conditions.","Recovery restart: rebuild demand carefully, protect service quality, and avoid forced overstaffing.","Prioritize controlled recovery, retention, and service consistency.",yes,active
recovery_constrained,Recovery Constrained,constrained_recovery,"Demand recovery is underway but still limited by travel, confidence, and operational frictions.","Recovery phase: protect team while rebuilding yield and repeat demand.","Do not confuse activity recovery with full business health; margin and team strain still matter.",yes,active
rebound_growth,Rebound Growth,rebound_with_cost_pressure,"Demand rebounds strongly, but cost pressure and operational strain can emerge during the catch-up phase.","Strong rebound: push monetization carefully while preventing burnout and execution slippage.","Demand recovery does not automatically mean profit recovery; protect labor efficiency and guest quality.",yes,active
macro_stress_normalization,Macro/Geopolitical Normalization Pressure,macro_geopolitical_pressure,"Demand normalizes, but inflation, geopolitical tension, and price sensitivity can still pressure margins.","Soft-normal market: focus retention, pricing discipline, and leakage prevention.","Demand may look better than profit reality due to cost pressure and value sensitivity.",yes,active
stable_recovery,Stable Recovery,normalized_growth,"Market recovery becomes more stable with healthier demand patterns.","Recovery stabilizing: improve yield, tighten standards, and grow more selectively.","Use stability to improve pricing architecture, team consistency, and guest lifetime value.",no,active
stable_mature_market,Stable Mature Market,mature_market,"Market operates in a more mature and commercially disciplined environment.","Strong market: push monetization, retention, and premium mix without sacrificing team sustainability.","Suitable environment for balanced growth, KPI discipline, and multi-outlet benchmarking.",no,active
normal,Normal,normal_market,"Baseline market condition.","Normal operating phase: monitor performance and optimize selectively.","Standard KPI management applies.",no,active
