treatment_category,treatment_variant,session_duration_min,recommended_reference_band,final_recommended_price_point,pricing_position_label,commercial_price_point,menu_recommended_price,material_cost_ratio,labor_cost_ratio,overhead_cost_ratio,menu_material_cost_proxy,menu_labor_cost_proxy,menu_overhead_cost_proxy,menu_gross_profit_proxy_per_treatment,menu_gross_margin_proxy_percent,menu_net_profit_proxy_per_treatment,menu_net_margin_proxy_percent,cost_structure_note,positioning_note,price_point_within_band_flag
reflexology,standard,45,60-80,69,entry,69,69,0.1,0.3,0.12,6.9,20.7,8.28,41.4,60.0,33.12,48.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone,True
scrub,standard,45,60-80,69,entry,69,69,0.18,0.26,0.12,12.42,17.94,8.28,38.64,56.0,30.36,44.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design,True
aromatherapy,standard,60,80-100,89,core,89,89,0.18,0.26,0.14,16.02,23.14,12.46,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design,True
body_treatment,standard,60,80-100,89,core,89,89,0.18,0.26,0.14,16.02,23.14,12.46,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design,True
deep_tissue,standard,60,70-90,79,core,89,89,0.1,0.3,0.14,8.9,26.7,12.46,53.4,60.0,40.94,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone,True
facial,basic,60,80-100,89,core,89,89,0.18,0.26,0.14,16.02,23.14,12.46,49.84,56.0,37.38,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design,True
massage,standard,60,80-100,89,core,89,89,0.1,0.3,0.14,8.9,26.7,12.46,53.4,60.0,40.94,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone,True
swedish,standard,60,80-100,89,core,89,89,0.1,0.3,0.14,8.9,26.7,12.46,53.4,60.0,40.94,46.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone,True
wrap,standard,60,90-110,99,premium,99,99,0.18,0.26,0.14,17.82,25.74,13.86,55.44,56.0,41.58,42.0,material-led cost profile,material intensity more visible; premium uplift can be justified through product and ritual design,True
hot_stone,standard,75,90-110,99,premium,109,109,0.1,0.3299999999999999,0.16,10.9,35.97,17.44,62.13,57.0,44.69,41.0,labor-led cost profile,labor-and-time led treatment; pricing should not be anchored on consumables alone,True
