outlet_name,therapist_id,therapist_name,queue_source,action_type,action_owner,action_scope,priority,action_title,action_rationale,recommended_action
Central Malta Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Central Malta Spa,CEN_TH_001,CEN_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_002,CEN_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_003,CEN_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_004,CEN_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_005,CEN_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_006,CEN_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_007,CEN_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_008,CEN_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_009,CEN_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_010,CEN_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_011,CEN_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_012,CEN_TH_012,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_013,CEN_TH_013,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Central Malta Spa,CEN_TH_014,CEN_TH_014,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Gozo Spa,GOZ_TH_001,GOZ_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_002,GOZ_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_003,GOZ_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_004,GOZ_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_005,GOZ_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_006,GOZ_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_007,GOZ_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_008,GOZ_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_009,GOZ_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Gozo Spa,GOZ_TH_010,GOZ_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool sits above minimum safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Mellieha Spa,MEL_TH_001,MEL_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_002,MEL_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_003,MEL_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_004,MEL_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_005,MEL_TH_005,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_006,MEL_TH_006,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_007,MEL_TH_007,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_008,MEL_TH_008,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_009,MEL_TH_009,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_010,MEL_TH_010,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Mellieha Spa,MEL_TH_011,MEL_TH_011,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,OUTLET_LEVEL,OUTLET_LEVEL,outlet_modeled,staffing_structure_review,Spa Manager,outlet,medium,Outlet staffing structure review,Modeled therapist pool fully aligned to revised safe roster requirement,"Validate outlet therapist pool against safe roster headcount, premium consistency needs, and recovery guardrails"
Qawra / St Paul’s Bay Spa,QAW_TH_001,QAW_TH_001,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_002,QAW_TH_002,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_003,QAW_TH_003,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
Qawra / St Paul’s Bay Spa,QAW_TH_004,QAW_TH_004,therapist_modeled,coaching_followthrough,Outlet Manager,therapist,medium,Therapist deployment and coaching follow-through,Protect service consistency and strengthen therapist deployment discipline,Rebalance therapist deployment to outlet service pattern and demand intensity
