outlet_name,zone_name,month_id,year,month_num,seasonality_factor,regime_factor,demand_index_0_100,yield_index_0_100,team_pressure_risk_0_100,expected_story_label,managerial_risk_hint
Central Malta Spa,Central Malta,2017-01,2017,1,0.86,0.92,59.1,74.0,37.7,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-02,2017,2,0.84,0.92,58.6,74.0,37.6,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-03,2017,3,0.92,0.92,60.6,75.0,38.2,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-04,2017,4,1.02,0.92,63.1,74.0,38.9,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-05,2017,5,1.1,0.92,65.1,74.0,39.5,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-06,2017,6,1.18,0.92,67.1,74.0,40.1,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-07,2017,7,1.3,0.92,70.1,74.0,41.0,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-08,2017,8,1.34,0.92,71.1,74.0,41.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-09,2017,9,1.22,0.92,68.1,74.0,40.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-10,2017,10,1.08,0.92,64.6,75.0,39.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2017-11,2017,11,0.95,0.92,61.3,74.0,38.4,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2017-12,2017,12,1.0,0.92,62.6,74.0,38.8,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2018-01,2018,1,0.86,0.96,61.6,75.0,39.5,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2018-02,2018,2,0.84,0.96,61.1,75.0,39.3,mixed / monitor,Monitor trend direction before major repositioning.
Central Malta Spa,Central Malta,2018-03,2018,3,0.92,0.96,63.2,76.0,40.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-04,2018,4,1.02,0.96,65.8,75.0,40.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-05,2018,5,1.1,0.96,67.9,75.0,41.4,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-06,2018,6,1.18,0.96,70.0,75.0,42.0,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-07,2018,7,1.3,0.96,73.1,75.0,42.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-08,2018,8,1.34,0.96,74.2,75.0,43.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-09,2018,9,1.22,0.96,71.0,75.0,42.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-10,2018,10,1.08,0.96,67.4,76.0,41.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-11,2018,11,0.95,0.96,64.0,75.0,40.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2018-12,2018,12,1.0,0.96,65.3,75.0,40.6,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-01,2019,1,0.86,1.0,64.2,76.0,41.3,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-02,2019,2,0.84,1.0,63.6,76.0,41.1,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-03,2019,3,0.92,1.0,65.8,77.0,41.7,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-04,2019,4,1.02,1.0,68.5,76.0,42.5,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-05,2019,5,1.1,1.0,70.7,76.0,43.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-06,2019,6,1.18,1.0,72.9,76.0,43.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-07,2019,7,1.3,1.0,76.2,76.0,44.9,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
Central Malta Spa,Central Malta,2019-08,2019,8,1.34,1.0,77.2,76.0,45.2,growth-ready,"Push selective growth, premium mix, and disciplined upsell."
