outlet_name,therapist_id,therapist_name,therapist_archetype,coaching_priority,deployment_recommendation,service_consistency_score_0_100,coaching_need_score_0_100,coaching_positioning_note,therapist_segment,therapist_segment_action,model_basis_period_start,model_basis_period_end,model_layer_type,therapist_segment_v2,therapist_segment_action_v2
Central Malta Spa,CEN_TH_001,CEN Therapist 001,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_002,CEN Therapist 002,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_003,CEN Therapist 003,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_004,CEN Therapist 004,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_005,CEN Therapist 005,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_006,CEN Therapist 006,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Central Malta Spa,CEN_TH_007,CEN Therapist 007,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Central Malta Spa,CEN_TH_008,CEN Therapist 008,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Central Malta Spa,CEN_TH_009,CEN Therapist 009,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Central Malta Spa,CEN_TH_010,CEN Therapist 010,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
Central Malta Spa,CEN_TH_011,CEN Therapist 011,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
Central Malta Spa,CEN_TH_012,CEN Therapist 012,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
