treatment_health_id,outlet_id,outlet_name,period_start,period_end,year,month,month_id,market_regime,regime_label,event_flag,market_note,period_regime_impact_note,managerial_interpretation,profitability_pressure_flag,treatment_category,treatment_variant,session_duration_min,treatment_key,recommended_sell_price_eur,market_price_median_eur,commercial_market_price_median_eur,bookings_count,sold_hours,revenue_eur,utilization_percent,yield_eur_per_sold_hour,rebooking_rate_percent,addon_attach_rate_percent,cancellation_rate_percent,no_show_rate_percent,complaint_rate_percent,treatment_health_score_0_100,treatment_health_band,treatment_health_primary_driver,treatment_health_risk_flag,treatment_health_action_hint,conflict_pattern_code,recommended_resolution_path,opportunity_type,opportunity_priority,treatment_rank_within_outlet_period,commercial_opportunity_note,status
THS_00001,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,aromatherapy,standard,60,aromatherapy|standard|60,64.0,76.0,76.0,45,45.0,2672.1,61.64,59.38,50.78,17.87,10.75,4.2,1.16,71.19,healthy,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Yield uplift opportunity,medium,8.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
THS_00002,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,body_treatment,standard,60,body_treatment|standard|60,69.0,77.5,77.5,42,42.0,2787.96,60.0,66.38,57.46,25.99,9.54,2.06,1.51,74.53,healthy,commercial_performance,risk_normal,maintain and monitor,NO_CONFLICT,continue monitoring,Maintain and scale,medium,4.0,Treatment performance is manageable under current operating conditions.,scaffold_generated
THS_00003,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,deep_tissue,standard,60,deep_tissue|standard|60,78.0,80.0,80.0,47,47.0,3522.65,62.67,74.95,45.24,23.34,8.62,3.3,1.82,76.88,healthy,commercial_performance,risk_normal,maintain and monitor,NO_CONFLICT,continue monitoring,Maintain and scale,medium,2.0,Treatment performance is manageable under current operating conditions.,scaffold_generated
THS_00004,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,facial,basic,60,facial|basic|60,94.0,100.0,100.0,40,40.0,3866.8,58.82,96.67,49.26,23.11,9.93,2.6,2.7,80.98,healthy,commercial_performance,risk_normal,maintain and monitor,NO_CONFLICT,continue monitoring,Maintain and scale,medium,1.0,Treatment performance is manageable under current operating conditions.,scaffold_generated
THS_00005,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,hot_stone,standard,75,hot_stone|standard|75,95.0,90.0,90.0,17,21.25,1540.37,43.15,72.49,54.55,19.66,10.74,4.9,2.92,71.78,healthy,commercial_performance,risk_normal,maintain and monitor,NO_CONFLICT,continue monitoring,Yield uplift opportunity,medium,7.0,Treatment performance is manageable under current operating conditions.,scaffold_generated
THS_00006,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,massage,standard,60,massage|standard|60,58.0,85.0,85.0,42,42.0,2265.06,60.0,53.93,56.37,19.11,8.48,2.1,1.87,67.16,watchlist,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Monitor and optimize,medium,9.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
THS_00007,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,reflexology,standard,45,reflexology|standard|45,34.0,75.0,75.0,42,31.5,1368.36,52.94,43.44,53.95,27.27,6.92,4.91,2.67,60.34,watchlist,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Monitor and optimize,medium,10.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
THS_00008,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,scrub,standard,45,scrub|standard|45,52.0,50.0,50.0,42,31.5,2025.66,52.94,64.31,45.86,20.66,6.98,2.14,3.32,72.59,healthy,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Maintain and scale,medium,6.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
THS_00009,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,swedish,standard,60,swedish|standard|60,64.0,69.5,69.5,42,42.0,2527.98,60.0,60.19,54.44,16.89,8.71,2.42,3.16,72.95,healthy,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Yield uplift opportunity,medium,5.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
THS_00010,MLT_OUTLET_001,Valletta,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,wrap,standard,60,wrap|standard|60,82.0,72.0,72.0,32,32.0,2419.2,53.33,75.6,53.12,25.26,10.08,4.12,2.0,74.6,healthy,commercial_performance,risk_normal,maintain and monitor,NO_CONFLICT,continue monitoring,Yield uplift opportunity,medium,3.0,Treatment performance is manageable under current operating conditions.,scaffold_generated
THS_00011,MLT_OUTLET_001,Valletta,2017-02-01,2017-02-28,2017,2,2017-02,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,aromatherapy,standard,60,aromatherapy|standard|60,64.0,76.0,76.0,46,46.0,2826.24,62.16,61.44,41.14,19.73,9.12,2.99,3.04,70.73,healthy,commercial_performance,risk_normal,maintain and monitor,HIGH_DEMAND_LOW_YIELD,review pricing upsell and mix,Maintain and scale,medium,8.0,"Demand exists but monetization is weak; pricing, upsell, and mix should be reviewed.",scaffold_generated
