treatment_name,duration_raw,price_eur,raw_line,outlet_name,city_area,source_type,source_url,rating,review_count,duration_min
in 3 easy steps,,100.0,"Select a gift voucher amount (e.g., €100) or a treatment voucher",Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
8 spa locations,,59.0,from €59,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
"Your therapist tailors every session to what your skin actually needs, not a one-size-fits-all menu. Pair it with time in the jacuzzi for the full wellness experience.",,55.0,from €55,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
"Book your session and enjoy smooth, confident skin all year round.",,25.0,from €25,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
"Pair your ritual with a dip in the pool, a long soak in the whirlpool, and 20 minutes in the sauna; that's a proper local day out.",20 min,59.0,from €59,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,20.0
"Delivered by qualified practitioners at select locations. Stay for the pool, sauna, and whirlpool after your session.",,59.0,from €59,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
Every package includes a complimentary 3h spa day facility pass. Powered by Phytomer marine skincare for lasting radiance.,,99.0,from €99,Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
How much does a massage cost in Malta?,,55.0,"At Carisma Spa, massages start from €55 for a classic relaxation or deep tissue session. Signature treatments and longer durations range up to €200. Every massage is delivered by a certified therapist using Phytomer marine products, no shortcuts, no rushing. You can view our full treatment menu and ",Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
How much does a massage cost in Malta?,,200.0,"At Carisma Spa, massages start from €55 for a classic relaxation or deep tissue session. Signature treatments and longer durations range up to €200. Every massage is delivered by a certified therapist using Phytomer marine products, no shortcuts, no rushing. You can view our full treatment menu and ",Carisma Spa Malta,Valletta,official,https://www.carismaspa.com/,,1.0,
Two hours of free parking,85 min,145.0,Limited time offer: €145 (from €180) | 85 min,"DISCOVER THE ART OF WELLNESS, ROOTED IN MALTA",Valletta,official,https://myoka.com/,,,85.0
Two hours of free parking,85 min,180.0,Limited time offer: €145 (from €180) | 85 min,"DISCOVER THE ART OF WELLNESS, ROOTED IN MALTA",Valletta,official,https://myoka.com/,,,85.0
Choose from a selection of guided meditation sessions to suit your needs and let the power of technology and mindfulness elevate your spa experience to new heights.,20 min,30.0,Duration 20 min €30,"DISCOVER THE ART OF WELLNESS, ROOTED IN MALTA",Valletta,official,https://myoka.com/,,,20.0
Price,50 min,165.0,€165,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,195.0,€195,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,125.0,€125,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,145.0,€145,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
Price,50 min,105.0,€105,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,50.0
Price,80 min,130.0,€130,Spa treatments,Valletta,official,https://phoeniciamalta.com/spa-wellness/spa-treatments/,,,80.0
