rent_engine_id,engine_group,component_name,linked_dataset_id,source_reference,decision_reference,assumption_type,input_value,input_unit,base_case_value,low_case_value,high_case_value,formula_role,formula_placeholder,v2_use_case,audit_note,status
RENT_001,benchmark_anchor,mid_market_rent_band_low,SRC_006,malta_commercial_rent_benchmark_source_snapshot.csv,pricing_benchmark_verification_decision.csv:BDEC_002,benchmark_input,10,EUR per sqm per month,10,10,,rent_band_lower_anchor,rent_band_low_input,Lower anchor for mid-market occupancy cost modeling,Provisionally accepted listing-derived benchmark.,draft_ready_not_final
RENT_002,benchmark_anchor,mid_market_rent_band_mid,SRC_006,malta_commercial_rent_benchmark_source_snapshot.csv,pricing_benchmark_verification_decision.csv:BDEC_002,benchmark_input,12,EUR per sqm per month,12,10,14,rent_band_base_anchor,rent_band_mid_input,Base-case rent anchor for occupancy absorption logic,Use as current base-case benchmark until spa-suitable comparables are tighter.,draft_ready_not_final
RENT_003,benchmark_anchor,mid_market_rent_band_high,SRC_006,malta_commercial_rent_benchmark_source_snapshot.csv,pricing_benchmark_verification_decision.csv:BDEC_002,benchmark_input,14,EUR per sqm per month,14,,14,rent_band_upper_anchor,rent_band_high_input,Upper anchor for base-case mid-market occupancy logic,"Still draft-ready, not final-final.",draft_ready_not_final
RENT_008,formula_map,monthly_rent_formula_chain,,economics_v2_upgrade_backlog.csv:V2BL_003,,formula_map,rent_per_sqm_month * occupied_sqm,formula_chain,rent_per_sqm_month * occupied_sqm,,,monthly_rent_build,monthly_rent_formula,Blueprint for converting benchmark rent band into monthly rent cost,Blueprint only; not executable until occupied_sqm is set.,policy_defined
RENT_009,formula_map,hourly_overhead_absorption_chain,,economics_v2_upgrade_backlog.csv:V2BL_003,treatment_economics_build_sheet.csv,formula_map,monthly_rent / monthly_sellable_treatment_hours,EUR per hour,monthly_rent / monthly_sellable_treatment_hours,,,hourly_overhead_build,hourly_rent_absorption_formula,Convert monthly occupancy cost into overhead per treatment hour,Need monthly sellable hours assumption before calculation.,policy_defined
RENT_004,premium_stress_band,premium_rent_band_reference,SRC_006,pricing_benchmark_verification_decision.csv:BDEC_002,pricing_benchmark_modeling_entry_summary.csv,stress_band_reference,20-22,EUR per sqm per month,,20,22,stress_test_anchor,premium_rent_stress_band_input,Optional premium stress case outside base-case absorption,Do not fold into base-case until corridor/location logic is explicit.,policy_defined
RENT_007,capacity_policy,monthly_sellable_treatment_hours,,pricing_actual_cost_input_sheet.csv:ACOST_007,,policy_assumption,,hours per month,,,,monthly_capacity_denominator,monthly_sellable_hours_input,Convert monthly site rent into overhead per hour or per treatment,Depends on utilization and operating-hours policy.,placeholder_needed
RENT_005,space_policy,occupied_sqm_assumption,,,,policy_assumption,,sqm,,,,rent_base_multiplier,occupied_sqm_input,Convert rent-per-sqm benchmark into monthly site rent assumption,Leave blank until treatment rooms / reception / support area scope is agreed.,placeholder_needed
RENT_006,space_policy,sellable_or_absorbable_sqm_ratio,,,,policy_assumption,,ratio,,,,effective_space_absorption,absorbable_sqm_ratio_input,Distinguish total occupied area from economically absorbable operating area,Use only after occupancy and site-layout policy is formalized.,placeholder_needed
RENT_010,engine_output,rent_absorption_output,,,,output_placeholder,,EUR per treatment hour,,,,final_output,rent_absorption_per_hour_output,Final rent-driven overhead absorption to feed treatment economics v2,Keep blank until sqm and capacity assumptions are locked.,not_computed_yet
