menu_label,treatment_category,treatment_variant,session_duration_min,pricing_position_label,menu_recommended_price,recommended_reference_band,cost_structure_note,menu_net_profit_proxy_per_treatment,menu_net_margin_proxy_percent
Reflexology - 45 min,reflexology,standard,45,entry,69,60-80,labor-led cost profile,33.12,48.0
Scrub - 45 min,scrub,standard,45,entry,69,60-80,material-led cost profile,30.36,44.0
Aromatherapy - 60 min,aromatherapy,standard,60,core,89,80-100,material-led cost profile,37.38,42.0
Body Treatment - 60 min,body_treatment,standard,60,core,89,80-100,material-led cost profile,37.38,42.0
Deep Tissue - 60 min,deep_tissue,standard,60,core,89,70-90,labor-led cost profile,40.94,46.0
Facial - 60 min,facial,basic,60,core,89,80-100,material-led cost profile,37.38,42.0
Massage - 60 min,massage,standard,60,core,89,80-100,labor-led cost profile,40.94,46.0
Swedish - 60 min,swedish,standard,60,core,89,80-100,labor-led cost profile,40.94,46.0
Wrap - 60 min,wrap,standard,60,premium,99,90-110,material-led cost profile,41.58,42.0
Hot Stone - 75 min,hot_stone,standard,75,premium,109,90-110,labor-led cost profile,44.69,41.0
