methodology_group,rule_id,rule_name,applies_to,logic_type,rule_logic,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,parameter_3_name,parameter_3_value,example_input,example_output,methodology_note
input_reference,INPUT_001,locked_source_file,all_treatments,source_control,Primary locked source used for methodology documentation is treatment_menu_recommendation_sheet_final_locked.csv.,source_file,treatment_menu_recommendation_sheet_final_locked.csv,record_count,10,duration_set,"45,60,75",locked final sheet,10 treatment rows documented,This file captures the locked end-state used to document pricing logic assumptions.
rounding_logic,ROUND_001,decile_rounding_standard,price bands and commercial anchors,rounding_rule,Low values are rounded down to the nearest 10. High values are rounded up to the nearest 10. Mid anchors are rounded to the nearest 10 for commercial consistency.,rounding_step,10,low_round_mode,floor,high_round_mode,ceil,"79, 81, 88","70, 80, 90",Decile rounding is used to remove irregular price endings and improve menu readability.
band_formation,BAND_001,recommended_reference_band_anchor,all_treatments,band_anchor_rule,Recommended reference bands are centered on the selected tier midpoint rather than using the full low-high envelope from the tier.,anchor_source,selected_tier_mid_price,tier_selection_driver,positioning_note,band_style,narrow commercial band,premium midpoint 89,80-100,This avoids overly wide recommendation ranges such as 50-110 or 60-130.
band_formation,BAND_002,duration_based_band_width,all_treatments,band_width_rule,Band width is determined by duration. Shorter treatments use tighter commercial bands; longer treatments use wider bands.,duration_le_45_spread,10,duration_gt_45_spread,20,rounding_step,10,45 min midpoint 69 | 60 min midpoint 89,60-80 | 80-100,The implemented workflow ultimately produced 45-minute entry bands and 60+/75-minute wider bands.
band_formation,BAND_003,collapse_prevention,all_treatments,quality_control_rule,"If a rounded band collapses into a single value or an invalid range, force a minimum spread so low < high and no repeated-value bands remain.",invalid_pattern,x-x,minimum_spread,10,resolution_method,expand upward from rounded center,79-79,80-90,Used to eliminate bands such as 79-79 or 89-89.
tier_selection,TIER_001,positioning_note_to_tier_family,all_treatments,tier_mapping_rule,"Tier family is inferred from treatment positioning narrative. In practice, material-intensity narratives and labor-led narratives were both translated into commercially readable recommendation bands and then narrowed into final menu prices.",material_intensity_note,material-led treatment framing,labor_time_note,labor-led treatment framing,commercial_goal,readable menu architecture,material intensity more visible...,commercial band anchored around midpoint,Narrative inputs influenced band selection logic before commercial harmonization.
commercial_price_point,CPP_001,final_recommended_price_point_from_band,all_treatments,price_point_rule,Final recommended price points are chosen from within the recommended reference band using commercially familiar 9-ending prices where possible.,price_ending_preference,9-ending,within_band_constraint,True,selection_basis,commercial midpoint / lower-entry alignment,60-80 | 80-100 | 90-110,69 | 89 | 99,"The final state converged to 69, 79, 89, 99, and 109 depending on band and ladder logic."
commercial_price_point,CPP_002,within_band_validation,all_treatments,validation_rule,Every final recommended price point must remain inside the assigned recommended reference band.,validation_flag,price_point_within_band_flag,required_value,True,validation_scope,all rows,89 within 80-100,True,The locked final file shows all rows validated successfully.
position_label,POS_001,pricing_position_label_mapping,all_treatments,label_mapping_rule,Pricing position labels are assigned from final price points to simplify menu architecture.,entry_threshold,<=69,core_threshold,70 to 89,premium_threshold,>=99,69 | 89 | 99,entry | core | premium,This creates a clean menu segmentation structure for commercial presentation.
ladder_adjustment,LADDER_001,commercial_summary_anchor,duration-position summary,summary_selection_rule,Commercial summary price points use the median anchor rather than the simple arithmetic mean when a market-facing price must be displayed.,summary_anchor,median,reason,commercial readability,avoids,awkward averages like 87,79 and 89,89,This is why 60-minute core pricing was commercialized to 89 instead of 87.
