management_signal_id,outlet_id,outlet_name,market_context,period_type,period_start,period_end,year,month,month_id,market_regime,regime_label,event_flag,market_note,period_regime_impact_note,managerial_interpretation,profitability_pressure_flag,overall_management_signal_score_0_100,overall_management_signal_band,primary_management_priority,secondary_management_priority,total_revenue_eur,utilization_percent,yield_eur_per_sold_hour,revpath_eur_per_available_hour,avg_treatment_health_score,avg_therapist_consistency_score,high_priority_conflict_count,burnout_risk_case_count,leakage_risk_case_count,manager_action_1,manager_action_2,manager_action_3,outlet_rank_within_period,managerial_focus_area,management_status_note,storyline_note,review_escalation_flag,executive_watchlist_flag,score_confidence_level,status
MSL_00001,MLT_OUTLET_001,Valletta,Malta,monthly,2017-01-01,2017-01-31,2017,1,2017-01,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,76.84,stable,commercial_growth,yield_optimization,24996.14,56.549,66.734,37.737,72.3,73.87,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00002,MLT_OUTLET_001,Valletta,Malta,monthly,2017-02-01,2017-02-28,2017,2,2017-02,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.7,stable,commercial_growth,yield_optimization,26047.94,57.013,68.334,38.912,72.267,72.745,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00003,MLT_OUTLET_001,Valletta,Malta,monthly,2017-03-01,2017-03-31,2017,3,2017-03,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.04,stable,commercial_growth,yield_optimization,26899.71,58.135000000000005,67.439,39.131,72.512,73.905,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00004,MLT_OUTLET_001,Valletta,Malta,monthly,2017-04-01,2017-04-30,2017,4,2017-04,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,76.89,stable,commercial_growth,yield_optimization,28161.97,58.61900000000001,68.928,40.384,72.533,74.47,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,3.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00005,MLT_OUTLET_001,Valletta,Malta,monthly,2017-05-01,2017-05-31,2017,5,2017-05,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.29,stable,commercial_growth,yield_optimization,28430.6,59.225,68.039,40.260000000000005,72.576,73.33500000000001,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00006,MLT_OUTLET_001,Valletta,Malta,monthly,2017-06-01,2017-06-30,2017,6,2017-06,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.6,stable,commercial_growth,yield_optimization,29211.87,60.262,66.98400000000001,40.328,73.19200000000001,74.31,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00007,MLT_OUTLET_001,Valletta,Malta,monthly,2017-07-01,2017-07-31,2017,7,2017-07,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.31,stable,commercial_growth,yield_optimization,31425.22,61.447,68.6,42.089,73.686,72.675,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00008,MLT_OUTLET_001,Valletta,Malta,monthly,2017-08-01,2017-08-31,2017,8,2017-08,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.3,stable,commercial_growth,yield_optimization,31626.05,61.897000000000006,67.52799999999999,41.77,73.05,72.99000000000001,5,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00009,MLT_OUTLET_001,Valletta,Malta,monthly,2017-09-01,2017-09-30,2017,9,2017-09,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,78.14,stable,commercial_growth,yield_optimization,29103.88,60.152,67.023,40.289,72.966,71.73500000000001,4,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,1.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
MSL_00010,MLT_OUTLET_001,Valletta,Malta,monthly,2017-10-01,2017-10-31,2017,10,2017-10,pre_covid_growth,Pre-COVID Growth,normal_growth,Tourism-led market expansion and relatively stable demand environment.,"Stable growth phase: build repeat demand, improve utilization, and strengthen yield discipline.",Growth environment supports commercial optimization without emergency intervention.,no,77.04,stable,commercial_growth,yield_optimization,27833.37,59.081,67.226,39.649,73.04299999999999,72.16,6,0,0,push pricing discipline and upsell,optimize treatment mix and conversion,review outlet scorecard and conflict patterns weekly,2.0,Revenue growth and pricing/yield opportunity,Outlet operating in relatively stable condition; optimize selectively.,Market backdrop is more supportive; focus on disciplined growth and consistency.,yes,no,low,scaffold_generated
