outlet_name,action_type,queue_source,premium anchor,throughput stabilizer,commercial builder,balanced core,coaching priority,people_management_priority,people_management_action
Central Malta Spa,staffing_structure_review,outlet_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Central Malta Spa,coaching_followthrough,therapist_modeled,3,0,6,0,5,develop_commercial_uplift,"Develop commercial builders through conversion coaching, premium framing, and stronger guest-retention habits."
Gozo Spa,staffing_structure_review,outlet_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Gozo Spa,coaching_followthrough,therapist_modeled,3,4,2,0,1,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,staffing_structure_review,outlet_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
Mellieha Spa,coaching_followthrough,therapist_modeled,2,4,3,0,2,protect_operating_backbone,"Protect throughput stabilizers as operating backbone; use them to secure flow stability, roster resilience, and continuity."
