taxonomy_id,variable_block_id,taxonomy_family,taxonomy_stage,raw_treatment_category,raw_treatment_variant,session_duration_min,treatment_family,canonical_category,canonical_variant,service_role,material_intensity,labor_skill_level,ritual_complexity,pricing_policy_group,market_benchmark_group,cost_policy_group,taxonomy_join_key,source_file_name,market_context,status,audit_note
TTX_001,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,aromatherapy,standard,60,massage,aromatherapy,standard,premium_core,medium,standard,medium,aromatherapy,aromatherapy,aromatherapy,aromatherapy__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_002,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,body_treatment,standard,60,body_ritual,body_treatment,standard,premium_core,medium_high,standard,medium_high,body_treatment,body_treatment,body_treatment,body_treatment__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_003,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,deep_tissue,standard,60,massage,deep_tissue,standard,premium_core,low_medium,advanced,medium,deep_tissue,deep_tissue,deep_tissue,deep_tissue__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_004,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,facial,basic,60,facial,facial,basic,premium_core,high,advanced,high,facial,facial,facial,facial__basic__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_005,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,hot_stone,standard,75,massage,hot_stone,standard,premium_core,medium,advanced,high,hot_stone,hot_stone,hot_stone,hot_stone__standard__75,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_006,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,massage,standard,60,massage,massage,standard,accessible_premium,low_medium,standard,low_medium,massage,massage,massage,massage__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_007,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,reflexology,standard,45,foot_therapy,reflexology,standard,traffic_builder,low,junior,low,reflexology,reflexology,reflexology,reflexology__standard__45,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_008,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,scrub,standard,45,body_ritual,scrub,standard,premium_core,medium_high,standard,medium,scrub,scrub,scrub,scrub__standard__45,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_009,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,swedish,standard,60,massage,swedish,standard,premium_core,low_medium,standard,low_medium,swedish,swedish,swedish,swedish__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
TTX_010,V2BL_FIX_002,treatment_taxonomy_master,normalized_master,wrap,standard,60,body_ritual,wrap,standard,premium_core,high,standard,high,wrap,wrap,wrap,wrap__standard__60,treatment_material_cost_assumptions.csv,Malta,taxonomy_defined,"taxonomy layer created to stabilize mapping across cost, market, and pricing engines"
