pricing_master_vat_id,variable_block_id,master_family,master_stage,is_final_approved_price,pricing_master_id,treatment_category,treatment_variant,session_duration_min,pricing_position,price_architecture_flag,launch_recommendation_flag,execution_priority,recommended_basis_used,sell_price_ex_vat_eur,vat_rate,vat_amount_eur,sell_price_inc_vat_eur,pricing_floor_ex_vat_eur,pricing_floor_vat_amount_eur,pricing_floor_inc_vat_eur,gap_vs_floor_ex_vat_eur,gap_vs_floor_pct,market_price_low_eur,market_price_median_eur,commercial_market_price_median_eur,market_price_high_eur,gap_vs_market_median_eur,gap_vs_market_median_pct,market_check_status,display_price_rule,pricing_summary_note,decision_adjustment_note,formula_role,formula_placeholder,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
FTPMVAT_001,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_001,aromatherapy,standard,60,premium_core,premium_core,launch_with_upside_room,high,premium_mid,64.0,0.18,11.52,75.52,58.0,10.44,68.44,6.0,10.34,76.0,76.0,76.0,76.0,-12.0,-15.79,below_market_median,standard_round_display_allowed,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_002,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_002,body_treatment,standard,60,premium_core,premium_core,launch,medium,premium_mid,69.0,0.18,12.42,81.42,63.0,11.34,74.34,6.0,9.52,55.0,77.5,77.5,100.0,-8.5,-10.97,below_market_median,standard_round_display_allowed,Recommended sell price 69.00 EUR vs floor 63.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_003,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_003,deep_tissue,standard,60,premium_core,premium_core,launch,medium,premium_mid,78.0,0.18,14.04,92.04,71.0,12.78,83.78,7.0,9.86,80.0,80.0,80.0,80.0,-2.0,-2.5,in_line_with_market_median,standard_round_display_allowed,Recommended sell price 78.00 EUR vs floor 71.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_004,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_004,facial,basic,60,premium_core,premium_core,launch,medium,premium_mid,94.0,0.18,16.92,110.92,84.0,15.12,99.12,10.0,11.9,100.0,100.0,100.0,100.0,-6.0,-6.0,in_line_with_market_median,standard_round_display_allowed,Recommended sell price 94.00 EUR vs floor 84.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_005,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_005,hot_stone,standard,75,premium_core,premium_core,launch,medium,premium_mid,95.0,0.18,17.1,112.1,86.0,15.48,101.48,9.0,10.47,90.0,90.0,90.0,90.0,5.0,5.56,in_line_with_market_median,standard_round_display_allowed,Recommended sell price 95.00 EUR vs floor 86.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_006,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_006,massage,standard,60,accessible_premium,accessible_premium,launch_with_upside_room,high,standard_high,58.0,0.18,10.44,68.44,56.0,10.08,66.08,2.0,3.57,70.0,85.0,85.0,100.0,-27.0,-31.76,below_market_median,standard_round_display_allowed,Recommended sell price 58.00 EUR vs floor 56.00 EUR; priced below market median; accessible premium role.,recommended sell price sits below market median; may support penetration or accessibility strategy,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_007,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_007,reflexology,standard,45,traffic_builder,traffic_builder,launch_as_entry_price,high,standard_high,34.0,0.18,6.12,40.12,32.0,5.76,37.76,2.0,6.25,50.0,75.0,75.0,100.0,-41.0,-54.67,below_market_median,psychological_price_preferred,Recommended sell price 34.00 EUR vs floor 32.00 EUR; priced below market median; traffic-oriented entry role.,recommended sell price sits below market median; may support penetration or accessibility strategy,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_008,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_008,scrub,standard,45,premium_core,premium_core,launch,medium,premium_mid,52.0,0.18,9.36,61.36,47.0,8.46,55.46,5.0,10.64,50.0,50.0,50.0,50.0,2.0,4.0,in_line_with_market_median,standard_round_display_allowed,Recommended sell price 52.00 EUR vs floor 47.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_009,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_009,swedish,standard,60,premium_core,premium_core,launch,medium,premium_mid,64.0,0.18,11.52,75.52,58.0,10.44,68.44,6.0,10.34,69.5,69.5,69.5,69.5,-5.5,-7.91,in_line_with_market_median,standard_round_display_allowed,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
FTPMVAT_010,V2BL_012,final_treatment_pricing_master_with_vat,policy_first_placeholder,no,FTPM_010,wrap,standard,60,premium_core,premium_edge,review_before_launch,medium,premium_mid,82.0,0.18,14.76,96.76,73.0,13.14,86.14,9.0,12.33,72.0,72.0,72.0,72.0,10.0,13.89,above_market_median,manual_review_before_display,Recommended sell price 82.00 EUR vs floor 73.00 EUR; priced above market median; premium core role.,recommended sell price sits above market median; validate brand strength and service differentiation before launch,vat_layer_application,sell_price_inc_vat = sell_price_ex_vat * (1 + vat_rate),final_treatment_pricing_master.csv,recommended_ex_vat_price_plus_output_vat_layer,input_vat_reclaim_logic_channel_discount_tax_invoice_rule_final_pos_config,medium_low,needs_finance_tax_signoff,pricing_research,Malta,EUR,2026-01-01,,"VAT layer added after internal ex-VAT pricing build; suitable for retail display preparation, still pending final signoff",assumption_defined
