artifact_key,artifact_name,artifact_type,artifact_path,management_layer_role,tracked_in_repo_flag,local_only_output_flag,qa_coverage_flag,qa_script_path,source_dependency_class,methodology_boundary_note,build_script_path,review_required_flag,handoff_required_flag,boundary_note
monthly_roster_management_interpretation,monthly_roster_management_interpretation.csv,management_readout_dataset,data_processed/management/monthly_roster_management_interpretation.csv,core_management_interpretation_dataset,1,0,1.0,scripts/qa/validate_monthly_roster_management_interpretation.py,internal_proxy_anchor_with_contextual_external_regime,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_registry,management_layer_registry.csv,governance_registry,data_processed/management/management_layer_registry.csv,governance_artifact_inventory,1,0,1.0,scripts/qa/validate_management_layer_registry.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_index,management_layer_index.md,governance_index,data_processed/management/management_layer_index.md,reviewer_navigation_index,1,0,1.0,scripts/qa/validate_management_layer_index.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_package_guide,management_layer_package_guide.md,governance_guide,data_processed/management/management_layer_package_guide.md,package_handoff_guidance,1,0,1.0,scripts/qa/validate_management_layer_package_guide.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_reviewer_checklist,management_layer_reviewer_checklist.md,governance_checklist,data_processed/management/management_layer_reviewer_checklist.md,reviewer_control_checklist,1,0,1.0,scripts/qa/validate_management_layer_reviewer_checklist.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_traceability_matrix,management_layer_traceability_matrix.csv,governance_traceability_matrix,data_processed/management/management_layer_traceability_matrix.csv,artifact_traceability_map,1,0,1.0,scripts/qa/validate_management_layer_traceability_matrix.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_release_readiness_note,management_layer_release_readiness_note.md,governance_release_note,data_processed/management/management_layer_release_readiness_note.md,release_readiness_and_handoff_trust_note,1,0,1.0,scripts/qa/validate_management_layer_release_readiness_note.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_governance_changelog,management_layer_governance_changelog.md,governance_changelog,data_processed/management/management_layer_governance_changelog.md,governance_evolution_and_handoff_trust_log,1,0,1.0,scripts/qa/validate_management_layer_governance_changelog.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_artifact_lifecycle_policy,management_layer_artifact_lifecycle_policy.md,governance_policy,data_processed/management/management_layer_artifact_lifecycle_policy.md,artifact_lifecycle_and_repo_discipline_policy,1,0,1.0,scripts/qa/validate_management_layer_artifact_lifecycle_policy.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
management_layer_governance_manifest,management_layer_governance_manifest.md,governance_manifest,data_processed/management/management_layer_governance_manifest.md,governance_stack_scope_and_control_manifest,1,0,1.0,scripts/qa/validate_management_layer_governance_manifest.py,governance_metadata,External proxies remain contextual regime or market-pressure inputs only; internal operating proxies remain the primary anchor for actionable decisions; no unsupported intraday deployment logic is introduced; no unsupported hourly staffing inference is introduced without valid granular source support; output/ remains local-only and not tracked.,,,,
