price_band_id,variable_block_id,engine_family,engine_stage,is_final_pricing_decision,pricing_floor_id,treatment_category,treatment_variant,session_duration_min,pricing_floor_low_eur,pricing_floor_mid_eur,pricing_floor_high_eur,standard_price_low_eur,standard_price_mid_eur,standard_price_high_eur,premium_price_low_eur,premium_price_mid_eur,premium_price_high_eur,luxury_price_low_eur,luxury_price_mid_eur,luxury_price_high_eur,recommended_reference_band,recommended_price_basis,formula_role,formula_placeholder,positioning_policy_method,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
TPRB_001,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_001,aromatherapy,standard,60,51.0,58.0,61.0,51.0,58.0,61.0,56.0,64.0,67.0,61.0,70.0,73.0,64-70,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_002,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_002,body_treatment,standard,60,56.0,63.0,68.0,56.0,63.0,68.0,62.0,69.0,75.0,67.0,76.0,82.0,69-76,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_003,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_003,deep_tissue,standard,60,65.0,71.0,72.0,65.0,71.0,72.0,72.0,78.0,79.0,78.0,85.0,86.0,78-85,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_004,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_004,facial,basic,60,72.0,84.0,86.0,72.0,84.0,86.0,81.0,94.0,96.0,90.0,105.0,108.0,94-105,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_005,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_005,hot_stone,standard,75,77.0,86.0,89.0,77.0,86.0,89.0,85.0,95.0,98.0,92.0,103.0,107.0,95-103,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_006,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_006,massage,standard,60,51.0,56.0,58.0,51.0,56.0,58.0,55.0,60.0,63.0,60.0,66.0,68.0,60-66,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_007,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_007,reflexology,standard,45,31.0,32.0,34.0,31.0,32.0,34.0,33.0,35.0,37.0,36.0,37.0,39.0,35-37,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_008,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_008,scrub,standard,45,42.0,47.0,50.0,42.0,47.0,50.0,46.0,52.0,55.0,50.0,56.0,60.0,52-56,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_009,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_009,swedish,standard,60,51.0,58.0,61.0,51.0,58.0,61.0,56.0,64.0,67.0,61.0,70.0,73.0,64-70,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
TPRB_010,V2BL_008,treatment_price_recommendation_band,policy_first_placeholder,no,TPF_010,wrap,standard,60,62.0,73.0,74.0,62.0,73.0,74.0,69.0,82.0,83.0,76.0,89.0,90.0,82-89,premium_mid_to_luxury_mid,price_band_positioning,pricing_floor x positioning_uplift,treatment_category_default_positioning_policy,treatment_pricing_floor_engine.csv,pricing_floor_plus_positioning_uplift_only,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,recommendation band is policy-first placeholder derived from pricing floor and positioning uplift,assumption_defined
