sheet_id,input_block,cost_component,linked_cost_input_id,input_name,selected_value,value_unit,base_case_value,low_case_value,high_case_value,application_scope,modeling_role,formula_placeholder,include_in_model,status,notes
ACOST_001,labor_floor,minimum_wage_floor,COST_001,Malta minimum wage 2026,229.44,EUR per week,229.44,229.44,229.44,all therapist payroll baseline logic,hard_floor,weekly_floor_input,yes,ready,Statutory labor floor input.
ACOST_002,labor_burden,employer_ssc,COST_002,Employer social security contribution 2026,10% / 22.94 / 49.04,percent and capped weekly logic,10%,22.94,49.04,employer payroll burden layer,statutory_burden,ssc_formula_by_wage_band,yes,ready,Keep category logic explicit; do not flatten too early.
ACOST_003,tax_layer,vat_rate,COST_003,Malta VAT rate,18,percent,18,18,18,menu price incl/excl VAT conversion,tax_default,vat_conversion_rate,yes,ready,Default standard VAT assumption.
ACOST_004,salary_anchor,therapist_salary_anchor,COST_004,Therapist / beautician salary benchmark,30000,EUR per year,30000,18291,30000,draft therapist salary calibration,upper_market_anchor,annual_salary_anchor_input,yes_conditional,draft_ready_not_final,Role adjacency remains; use carefully.
ACOST_005,rent_anchor,commercial_rent_anchor,COST_005,Commercial rent / occupancy benchmark,10-14,EUR per sqm per month,12,10,14,draft fixed-overhead calibration,mid_market_anchor,rent_per_sqm_month_input,yes_conditional,draft_ready_not_final,Premium stress band 20-22 stays outside base case.
ACOST_006,treatment_operations,treatment_duration_minutes,,Treatment duration assumption,,minutes,,,,per treatment row later,service_time_driver,duration_min_by_treatment,pending,placeholder_needed,To be linked from final treatment menu sheet.
ACOST_007,treatment_operations,therapist_productive_utilization,,Productive utilization assumption,,percent,,,,labor cost absorption logic,capacity_absorption_driver,productive_utilization_rate,pending,placeholder_needed,Do not estimate yet without explicit modeling policy.
ACOST_008,treatment_operations,room_turnover_buffer,,Room turnover / reset buffer,,minutes,,,,true service capacity logic,operational_buffer,turnover_buffer_min,pending,placeholder_needed,Important later for realistic throughput.
ACOST_009,treatment_operations,product_cost_per_treatment,,Consumable / product cost per treatment,,EUR per treatment,,,,treatment direct cost layer,direct_material_driver,product_cost_by_treatment,pending,placeholder_needed,Keep blank until material research is captured.
ACOST_010,treatment_operations,target_margin_policy,,Target margin policy placeholder,,percent,,,,commercial recommendation layer,pricing_policy_driver,target_margin_percent,pending,placeholder_needed,Do not populate until pricing economics framework is approved.
