commercial_decision_id,variable_block_id,sheet_family,sheet_stage,is_final_sell_price,price_band_id,treatment_category,treatment_variant,session_duration_min,pricing_floor_mid_eur,standard_price_mid_eur,premium_price_mid_eur,luxury_price_mid_eur,recommended_sell_price_eur,recommended_basis_used,pricing_position,recommended_reference_band,gap_vs_floor_eur,gap_vs_floor_pct,gap_vs_market_median_eur,gap_vs_market_median_pct,market_check_status,decision_rule,decision_note,formula_role,formula_placeholder,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
TCD_001,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_001,aromatherapy,standard,60,58.0,58.0,64.0,70.0,64.0,premium_mid,premium_core,64-70,6.0,10.34,,,not_yet_integrated,category_positioning_policy_based_selection,aromatherapy can justify premium through sensory ritual and oil positioning,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_002,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_002,body_treatment,standard,60,63.0,63.0,69.0,76.0,69.0,premium_mid,premium_core,69-76,6.0,9.52,,,not_yet_integrated,category_positioning_policy_based_selection,body ritual can support premium positioning if experience design and product texture are visible to guest,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_003,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_003,deep_tissue,standard,60,71.0,71.0,78.0,85.0,78.0,premium_mid,premium_core,78-85,7.0,9.86,,,not_yet_integrated,category_positioning_policy_based_selection,deep tissue can hold premium when therapist skill and pain-relief positioning are credible,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_004,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_004,facial,basic,60,84.0,84.0,94.0,105.0,94.0,premium_mid,premium_core,94-105,10.0,11.9,,,not_yet_integrated,category_positioning_policy_based_selection,facial can usually sustain stronger premium capture through product ritual and perceived expertise,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_005,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_005,hot_stone,standard,75,86.0,86.0,95.0,103.0,95.0,premium_mid,premium_core,95-103,9.0,10.47,,,not_yet_integrated,category_positioning_policy_based_selection,default commercial stance uses premium-mid until competitor reality check is added,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_006,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_006,massage,standard,60,56.0,56.0,60.0,66.0,58.0,standard_high,accessible_premium,60-66,2.0,3.57,,,not_yet_integrated,category_positioning_policy_based_selection,general massage is often more price-visible; keep recommended sell price commercially reachable,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_007,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_007,reflexology,standard,45,32.0,32.0,35.0,37.0,34.0,standard_high,traffic_builder,35-37,2.0,6.25,,,not_yet_integrated,category_positioning_policy_based_selection,reflexology often works well as an entry-price service and volume builder,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_008,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_008,scrub,standard,45,47.0,47.0,52.0,56.0,52.0,premium_mid,premium_core,52-56,5.0,10.64,,,not_yet_integrated,category_positioning_policy_based_selection,scrub can support premium through material visibility and add-on potential,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_009,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_009,swedish,standard,60,58.0,58.0,64.0,70.0,64.0,premium_mid,premium_core,64-70,6.0,10.34,,,not_yet_integrated,category_positioning_policy_based_selection,default commercial stance uses premium-mid until competitor reality check is added,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
TCD_010,V2BL_009,treatment_commercial_decision,policy_first_placeholder,no,TPRB_010,wrap,standard,60,73.0,73.0,82.0,89.0,82.0,premium_mid,premium_core,82-89,9.0,12.33,,,not_yet_integrated,category_positioning_policy_based_selection,wrap tends to justify stronger premium through ritual complexity and material load,commercial_decision_selection,select recommended sell price from standard/premium/luxury band,treatment_price_recommendation_band_engine.csv,pricing_floor_and_positioning_band_logic,competitor_reality_check_channel_discount_tax_display_rule_final_psychological_rounding,medium_low,needs_commercial_approval,pricing_research,Malta,EUR,2026-01-01,,commercial decision sheet is policy-first placeholder until competitor layer and final rounding rules are integrated,assumption_defined
