dataset_group,dataset_id,dataset_name,dataset_type,status,gap_status,action_priority,next_action,recommended_model_handling,rationale,priority_level,local_file_name,notes
market_benchmark,SRC_006,Commercial rent / occupancy benchmark,market_benchmark,missing,critical_gap,urgent,find rent benchmark by area/type and convert to monthly operating assumption,do not treat as stable; fill before finance-heavy conclusions,fixed overhead can materially change minimum viable price,high,,Still missing; currently modeled as assumption
market_benchmark,SRC_004,Therapist / beautician salary benchmark,market_benchmark,partial,benchmark_gap,high,collect stronger therapist salary benchmarks from Malta job market,use cautiously as market calibration input,therapist salary is one of the biggest drivers of treatment economics,high,,Need better benchmark than general minimum wage
official_reference,SRC_001,Malta minimum wage 2026,official_reference,identified,source_confirmed_but_not_localized,high,download and local-save official wage reference,use with citation and local snapshot asap,official wage floor is needed as minimum labor baseline,high,,"Use as official wage floor, not as full therapist pay benchmark"
official_reference,SRC_002,Employer social security contribution rate,official_reference,identified,source_confirmed_but_not_localized,high,download and local-save employer SSC reference,use with citation and local snapshot asap,loaded payroll cost is incomplete without employer burden,high,,Needed for loaded labor cost
official_reference,SRC_003,VAT rate Malta,official_reference,identified,source_confirmed_but_not_localized,high,download and local-save VAT reference,use with citation and local snapshot asap,service price should be evaluated incl/ex VAT consistently,high,,Needed to convert menu price incl/ex VAT
operating_assumption,SRC_007,Paid hours and productive utilization assumptions,working_assumption,active_assumption,assumption_gap,medium,replace with actual roster/productivity data when available,use temporarily and flag as replaceable,productivity assumption strongly affects labor cost per productive hour,high,pricing_actual_cost_assumptions.csv,Can be replaced later by real schedule/sales data
operating_assumption,SRC_009,Target treatments per month assumption,working_assumption,active_assumption,assumption_gap,medium,replace with demand model or operating plan volume assumption,use temporarily and flag as replaceable,overhead allocation per treatment depends heavily on volume,high,pricing_actual_cost_assumptions.csv,Strong driver of minimum viable price
treatment_cost_assumption,SRC_008,Treatment consumable cost assumptions,working_assumption,active_assumption,assumption_gap,medium,replace with BOM or supplier price list by treatment,use temporarily and flag as replaceable,consumables can distort economics if too low or too high,high,pricing_actual_cost_assumptions.csv,Needs later replacement with supplier/product BOM data
market_benchmark,SRC_005,Spa manager salary benchmark,market_benchmark,partial,benchmark_gap,low,collect manager salary benchmarks for fuller staffing model,use cautiously as market calibration input,management salary matters later for fuller operating model,medium,,Useful for fuller staffing model later
pricing_output,SRC_010,Launch menu recommendation output,model_output,ready,no_gap,low,no immediate action; keep as downstream output reference,use directly,used as output spine for next-stage cost modeling,medium,launch_menu_recommendation.csv,Feeds next-stage actual unit economics
