source_group,repo_evidence,used_for,publisher_or_owner,source_type,suggested_public_treatment,preferred_citation,rights_note
internal_demo_generated,"README demo disclaimer; demo POS-style operational workflow","portfolio demonstration, KPI workflow, management outputs","Repository author","generated/demo","keep in repo, label clearly as synthetic/demo","Source: Author-generated demo data for Malta_portfolio.","No external owner implied unless real external data is used."
nso_inbound_tourism,"data_raw/nso_inbound_tourism/ ; e.g. nso_inbound_tourism_dec_2024_page.html","tourist arrivals, nights, expenditure, visitor mix","National Statistics Office, Malta","official statistics","keep citation register and release titles; cite clearly","Source: National Statistics Office, Malta — Inbound Tourism.","Use clear source attribution in outputs and documentation."
nso_collective_accommodation,"data_raw/nso_accommodation/ ; e.g. nso_collective_accommodation_q4_2024_page.html ; data_raw/nso_accommodation_reports/","accommodation guests, nights, occupancy, seasonality context","National Statistics Office, Malta","official statistics","keep citation register and release titles; cite clearly","Source: National Statistics Office, Malta — Collective Accommodation Establishments.","Use as contextual support rather than spa demand truth."
nso_air_transport_mia,"airport traffic context used as external proxy support","airport passenger traffic context and mobility proxy","NSO Malta / Malta International Airport plc","official statistics using administrative source","prefer NSO citation and note MIA as upstream administrative source","Source: National Statistics Office, Malta — Passenger Traffic at Malta International Airport (compiled from administrative information provided by Malta International Airport plc).","Safer public citation line than relying only on MIA files."
mia_annual_reports,"data_raw/mia/*.pdf","annual airport traffic summary context","Malta International Airport plc","corporate reports","replace public PDFs with metadata + official links unless permission/licence is clear","Source: Malta International Airport plc, Annual Summary Report [year].","Safer not to re-host public copies in GitHub if licence is unclear."
eurostat,"data_raw/eurostat/*.tsv ; data_raw/eurostat/*.json","macro, tourism, labour, price context","Eurostat","official supranational statistics","keep dataset codes, extracts, and attribution","Source: Eurostat, dataset [CODE], extracted for Malta on [DATE].","Always include dataset code and access/extraction date where possible."
spa_research_seed_urls,"data_raw/spa_research/malta_spa_seed_urls.csv ; data_raw/spa_research/malta_spa_seed_urls_filtered.csv","market mapping, competitor scan, venue discovery","Mixed commercial websites","website reference URLs","keep URL manifests and notes only, not copied content","Source: [website/operator], page title, accessed [DATE].","Treat as reference sources only; avoid redistributing scraped/copied content."
valletta_thesis_controlled_documents,"docs/valletta_thesis_alignment.md ; data_processed/thesis_alignment/operating_assumptions.csv ; data_processed/thesis_alignment/financial_headlines.csv","Valletta flagship operating conventions, financial outputs and narrative interpretation","Repository author / final thesis and thesis-aligned workbook","academic planning model","reference controlled filenames and derived CSV facts; do not imply operating actuals","Source: Ana Mardiana, final integrated thesis and thesis-aligned financial model, version 2026-09-02.","Academic planning outputs; professional commercial, legal, employment and tax validation required."
nso_inbound_tourism_2025_alignment,"data_processed/thesis_alignment/market_context_2025.csv","2025 tourism headline context and selected monthly age-profile evidence","National Statistics Office, Malta","official statistics and transparent derivations","retain values, source URLs, release dates and interpretation boundaries","Source: National Statistics Office, Malta — Inbound Tourism releases for January, March, October and December 2025.","External context only; not measured spa demand or a full-year demographic distribution."
nso_tourism_intensity_2024,"data_raw/nso_regional_reports/nso_regional_reports_source_manifest.csv ; data_processed/thesis_alignment/valletta_local_market_context.csv","Valletta locality tourism intensity, average tourist presence and seasonality context","National Statistics Office, Malta","official statistics","retain release metadata, table references, source URL and interpretation boundary","Source: National Statistics Office, Malta — Tourism Intensity: 2024, NR 184/2025.","Tourism intensity is not an annual unique-visitor count or spa-demand denominator."
mta_valletta_locality_survey,"data_raw/mta_valletta_locality/mta_valletta_locality_source_manifest.csv ; data_processed/thesis_alignment/valletta_local_market_context.csv","historical Valletta visitor typology and visit mode","Malta Tourism Authority Research Unit","official historical survey","retain metadata and source link; label historical and do not re-host the PDF","Source: Malta Tourism Authority Research Unit, Valletta Locality Survey, fieldwork February-October 2015.","Sample of 277 respondents; not current total visitor volume or projected spa demand."
valletta_local_denominator_controls,"data_processed/thesis_alignment/valletta_local_market_context.csv","controls for local visitor denominator and capture-rate claims","Repository author","controlled analytical boundary","keep unavailable and validation-required rows explicit","Source: controlled Valletta thesis-alignment evidence register.","No actual local capture rate until numerator and denominator are definitionally aligned."
