source_map_id,source_file,source_path,source_domain,source_type,analytical_layer,entity_grain,period_grain,primary_use_case,score_dependency,primary_metric_family,join_keys,refresh_frequency,confidence_level,governance_status,owner_function,market_context,currency,notes
SRCMAP_001,competitor_price_benchmark_summary.csv,data_processed/pricing_research/competitor_price_benchmark_summary.csv,pricing_research,processed_output,strategic_market_reference,treatment_duration,static_snapshot,benchmark_reference,"treatment_health_score|conflict_resolution",pricing_benchmark,"treatment_category|treatment_variant|session_duration_min",on_demand,high,locked_native_rule,pricing_research,Malta,EUR,locked benchmark summary for market fact and benchmark governance
SRCMAP_002,wrap_60min_exact_only_research_log.csv,data_processed/pricing_research/wrap_60min_exact_only_research_log.csv,pricing_research,processed_output,strategic_market_reference,treatment_duration,static_snapshot,benchmark_audit_trace,"treatment_health_score|conflict_resolution",benchmark_audit,"treatment_category|treatment_variant|session_duration_min",on_demand,high,locked_native_rule,pricing_research,Malta,EUR,exact-match wrap benchmark audit support
SRCMAP_003,final_treatment_pricing_master.csv,data_processed/pricing_research/final_treatment_pricing_master.csv,pricing_research,processed_output,strategic_market_reference,treatment_duration,static_snapshot,pricing_decision_reference,"treatment_health_score|conflict_resolution",pricing_master,"treatment_category|treatment_variant|session_duration_min",on_demand,high,review_controlled_governance,pricing_research,Malta,EUR,master pricing decision layer
SRCMAP_004,final_treatment_pricing_master_with_vat.csv,data_processed/pricing_research/final_treatment_pricing_master_with_vat.csv,pricing_research,processed_output,strategic_market_reference,treatment_duration,static_snapshot,vat_display_reference,"conflict_resolution|management_kpi_signal",pricing_master_vat,"treatment_category|treatment_variant|session_duration_min",on_demand,high,review_controlled_governance,pricing_research,Malta,EUR,vat-ready pricing layer
SRCMAP_005,treatment_pos_display_price_sheet.csv,data_processed/pricing_research/treatment_pos_display_price_sheet.csv,pricing_research,processed_output,strategic_market_reference,treatment_duration,static_snapshot,pos_display_reference,"conflict_resolution|management_kpi_signal",pos_display,"treatment_category|treatment_variant|session_duration_min",on_demand,high,review_controlled_governance,pricing_research,Malta,EUR,customer-facing price display reference
SRCMAP_006,treatment_geopolitical_stress_test_sheet.csv,data_processed/pricing_research/treatment_geopolitical_stress_test_sheet.csv,pricing_research,processed_output,external_context_reference,treatment_duration,scenario_snapshot,stress_scenario_context,"treatment_health_score|conflict_resolution",stress_test,"treatment_category|treatment_variant|session_duration_min",scenario_based,medium,scenario_governed,pricing_research,Malta,EUR,pricing sensitivity and risk scenario context
SRCMAP_007,utilization_assumption_policy.csv,data_processed/pricing_research/utilization_assumption_policy.csv,pricing_research,policy_reference,governance_reference,policy_line,static_snapshot,utilization_definition_control,"treatment_health_score|therapist_consistency_score|management_kpi_signal",policy_definition,"policy_id",on_demand,high,policy_defined,pricing_research,Malta,EUR,defines productive utilization interpretation
SRCMAP_008,pricing_source_snapshot_registry.csv,data_processed/pricing_research/pricing_source_snapshot_registry.csv,pricing_research,registry_reference,governance_reference,source_registry,static_snapshot,source_traceability,"conflict_resolution|management_kpi_signal",source_registry,"source_id|linked_dataset_id",on_demand,high,registry_defined,pricing_research,Malta,EUR,source provenance and priority registry
SRCMAP_009,internal_proxy_treatment_kpi.csv,data_processed/internal_proxy/internal_proxy_treatment_kpi.csv,internal_proxy,proxy_output,operating_fact_reference,treatment_outlet_period,weekly_monthly_rolling,operational_treatment_performance,"treatment_health_score|conflict_resolution|management_kpi_signal",treatment_kpi,"outlet_id|treatment_category|treatment_variant|session_duration_min|period_start|period_end",weekly,medium,proxy_pending_design,spa_operations,Malta,EUR,planned internal treatment performance proxy
SRCMAP_010,internal_proxy_therapist_kpi.csv,data_processed/internal_proxy/internal_proxy_therapist_kpi.csv,internal_proxy,proxy_output,operating_fact_reference,therapist_period,weekly_monthly_rolling,therapist_operational_performance,"therapist_consistency_score|conflict_resolution|management_kpi_signal",therapist_kpi,"therapist_id|outlet_id|period_start|period_end",weekly,medium,proxy_pending_design,spa_operations,Malta,EUR,planned therapist-level performance proxy
SRCMAP_011,external_demand_proxy_index.csv,data_processed/internal_proxy/external_demand_proxy_index.csv,external_proxy,proxy_output,external_context_reference,market_period,weekly_monthly,market_demand_context,"treatment_health_score|conflict_resolution|management_kpi_signal",external_demand,"market_context|period_start|period_end",monthly,medium,proxy_pending_design,strategy,Malta,EUR,planned unified external demand pressure index
SRCMAP_012,outlet_capacity_proxy.csv,data_processed/internal_proxy/outlet_capacity_proxy.csv,internal_proxy,proxy_output,operating_fact_reference,outlet_period,weekly_monthly_rolling,capacity_and_staffing_context,"treatment_health_score|conflict_resolution|management_kpi_signal",capacity_labor,"outlet_id|period_start|period_end",weekly,medium,proxy_pending_design,spa_operations,Malta,EUR,planned outlet capacity and staffing proxy
