direct_cost_id,engine_family,engine_stage,is_final_costing_model,treatment_material_assumption_id,labor_engine_id,treatment_category,treatment_variant,session_duration_min,assigned_therapist_role,role_mapping_method,duration_hours,material_cost_low_eur,material_cost_mid_eur,material_cost_high_eur,productive_labor_cost_low_eur,productive_labor_cost_mid_eur,productive_labor_cost_high_eur,direct_cost_low_eur,direct_cost_mid_eur,direct_cost_high_eur,recommended_direct_cost_basis,labor_assignment_method,formula_role,formula_placeholder,linked_material_reference,linked_labor_reference,linked_taxonomy_reference,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
TDC_001,treatment_direct_cost,policy_first_placeholder,no,TMAT_001,LHC_002,aromatherapy,standard,60,therapist,taxonomy_labor_skill_mapping,1.0,2.5,4.5,7.0,12.86,15.71,18.57,15.36,20.21,25.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_002,treatment_direct_cost,policy_first_placeholder,no,TMAT_002,LHC_002,body_treatment,standard,60,therapist,taxonomy_labor_skill_mapping,1.0,4.0,6.5,10.0,12.86,15.71,18.57,16.86,22.21,28.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_003,treatment_direct_cost,policy_first_placeholder,no,TMAT_003,LHC_003,deep_tissue,standard,60,senior_therapist,taxonomy_labor_skill_mapping,1.0,2.5,4.0,6.0,15.71,19.29,22.86,18.21,23.29,28.86,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_004,treatment_direct_cost,policy_first_placeholder,no,TMAT_004,LHC_003,facial,basic,60,senior_therapist,taxonomy_labor_skill_mapping,1.0,4.5,7.5,11.5,15.71,19.29,22.86,20.21,26.79,34.36,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_005,treatment_direct_cost,policy_first_placeholder,no,TMAT_005,LHC_003,hot_stone,standard,75,senior_therapist,taxonomy_labor_skill_mapping,1.25,3.5,6.0,9.0,19.64,24.11,28.57,23.14,30.11,37.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_006,treatment_direct_cost,policy_first_placeholder,no,TMAT_006,LHC_002,massage,standard,60,therapist,taxonomy_labor_skill_mapping,1.0,2.5,4.0,6.0,12.86,15.71,18.57,15.36,19.71,24.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_007,treatment_direct_cost,policy_first_placeholder,no,TMAT_007,LHC_001,reflexology,standard,45,junior_therapist,taxonomy_labor_skill_mapping,0.75,1.5,2.0,3.5,8.57,10.18,11.78,10.07,12.18,15.28,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_008,treatment_direct_cost,policy_first_placeholder,no,TMAT_008,LHC_002,scrub,standard,45,therapist,taxonomy_labor_skill_mapping,0.75,3.0,4.5,7.0,9.64,11.78,13.93,12.64,16.28,20.93,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_009,treatment_direct_cost,policy_first_placeholder,no,TMAT_009,LHC_002,swedish,standard,60,therapist,taxonomy_labor_skill_mapping,1.0,2.5,4.5,7.0,12.86,15.71,18.57,15.36,20.21,25.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
TDC_010,treatment_direct_cost,policy_first_placeholder,no,TMAT_010,LHC_002,wrap,standard,60,therapist,taxonomy_labor_skill_mapping,1.0,4.5,7.5,11.0,12.86,15.71,18.57,17.36,23.21,29.57,mid,taxonomy_labor_skill_mapping,direct_cost_integration,material_cost + (loaded_productive_hour_cost x duration_hours),treatment_material_cost_assumptions.csv,loaded_therapist_hourly_cost_engine.csv,treatment_taxonomy_master.csv,direct_treatment_materials_plus_productive_labor_only,room_occupancy_equipment_depreciation_admin_overhead_sales_marketing_vat_profit_markup,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,policy-first integrated direct cost placeholder; labor role now supports taxonomy-based mapping,assumption_defined
