assumption_id,variable_block_id,assumption_family,assumption_stage,is_true_bom_final,treatment_category,treatment_variant,session_duration_min,material_cost_low_eur,material_cost_mid_eur,material_cost_high_eur,recommended_material_cost_basis,duration_multiplier_applied,main_cost_driver,consumable_profile,cost_scope_included,cost_scope_excluded,assumption_basis,assumption_method,linked_policy_reference,linked_upstream_dependency,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,source_file_used_for_treatment_list,audit_note,status
TMAT_001,V2BL_005,treatment_material_cost,policy_first_placeholder,no,aromatherapy,standard,60,2.5,4.5,7.0,mid,1.0,oil_blend_and_linen_use,massage_oil_essential_oil_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,oil-led treatments typically have lower SKU count but recurring oil and linen consumption,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_002,V2BL_005,treatment_material_cost,policy_first_placeholder,no,body_treatment,standard,60,4.0,6.5,10.0,mid,1.0,wrap_scrub_oil_product_load,scrub_wrap_oil_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,body rituals often require moderate-to-high product quantity and linen use,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_003,V2BL_005,treatment_material_cost,policy_first_placeholder,no,deep_tissue,standard,60,2.5,4.0,6.0,mid,1.0,oil_or_balm_and_linen_use,massage_oil_or_balm_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,deep tissue generally uses simpler materials than facial or wrap categories,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_004,V2BL_005,treatment_material_cost,policy_first_placeholder,no,facial,basic,60,4.5,7.5,11.5,mid,1.0,skincare_product_intensity,mask_serum_cleanser_toner_spatula_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,facials usually consume more SKU variety and product volume per session,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_005,V2BL_005,treatment_material_cost,policy_first_placeholder,no,hot_stone,standard,75,3.5,6.0,9.0,mid,1.15,oil_plus_stone_preparation_and_linen_use,massage_oil_stone_setup_hygiene_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,"hot stone uses oil plus additional setup, sanitation, and ritual prep burden",category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_006,V2BL_005,treatment_material_cost,policy_first_placeholder,no,massage,standard,60,2.5,4.0,6.0,mid,1.0,oil_or_balm_and_linen_use,massage_oil_or_balm_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,general massage assumed similar to other oil/balm treatments,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_007,V2BL_005,treatment_material_cost,policy_first_placeholder,no,reflexology,standard,45,1.5,2.0,3.5,mid,0.85,minimal_product_plus_hygiene_consumables,cream_or_oil_disposables_hygiene_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,reflexology usually has lighter product consumption than full-body treatments,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_008,V2BL_005,treatment_material_cost,policy_first_placeholder,no,scrub,standard,45,3.0,4.5,7.0,mid,0.85,product_mass_per_session,scrub_base_oil_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,scrubs consume visible product mass and cleanup materials,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_009,V2BL_005,treatment_material_cost,policy_first_placeholder,no,swedish,standard,60,2.5,4.5,7.0,mid,1.0,oil_blend_and_linen_use,massage_oil_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,swedish massage typically carries light-to-moderate oil usage with standard linen load,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
TMAT_010,V2BL_005,treatment_material_cost,policy_first_placeholder,no,wrap,standard,60,4.5,7.5,11.0,mid,1.0,product_mass_and_wrap_materials,mask_wrap_materials_disposables_linen_laundry_share,direct_treatment_consumables_only,labor_room_occupancy_equipment_depreciation_overhead_vat,wraps combine product load with extra application/covering materials,category_policy_x_duration_multiplier,utilization_assumption_policy.csv,treatment_master_placeholder,medium_low,needs_finance_ops_validation,pricing_research,Malta,EUR,2026-01-01,,price_recommendation_interpretation_v1.csv,"placeholder assumption only; created before final BOM; use for scenario modeling, not purchase control",assumption_defined
