dependency_id,output_layer,output_file,dependency_role,input_source_file,input_source_path,input_layer,input_domain,entity_grain,period_grain,required_flag,transform_rule,conflict_priority,weight_reference,minimum_sample_rule,fallback_rule,qa_check_rule,governance_status,notes
DEP_001,treatment_health_score,data_processed/internal_proxy/treatment_health_score.csv,benchmark_context,competitor_price_benchmark_summary.csv,data_processed/pricing_research/competitor_price_benchmark_summary.csv,strategic_market_reference,pricing_research,treatment_duration,static_snapshot,yes,join benchmark median and quality status into treatment health input,medium,reference_only,minimum 1 benchmark row,use pricing master if benchmark subset unavailable,benchmark columns must map to treatment keys,locked_native_rule,market benchmark baseline
DEP_002,treatment_health_score,data_processed/internal_proxy/treatment_health_score.csv,pricing_decision_context,final_treatment_pricing_master.csv,data_processed/pricing_research/final_treatment_pricing_master.csv,strategic_market_reference,pricing_research,treatment_duration,static_snapshot,yes,join recommended sell and governance status,high,reference_only,minimum 1 pricing master row,use benchmark fallback if missing,recommended price and governance must exist where applicable,review_controlled_governance,pricing decision control
DEP_003,treatment_health_score,data_processed/internal_proxy/treatment_health_score.csv,stress_context,treatment_geopolitical_stress_test_sheet.csv,data_processed/pricing_research/treatment_geopolitical_stress_test_sheet.csv,external_context_reference,pricing_research,treatment_duration,scenario_snapshot,no,map stress scenario to treatment risk modifier,low,context_modifier,no minimum sample,default neutral stress modifier,stress scenario values must be non-negative,scenario_governed,external risk context
DEP_004,treatment_health_score,data_processed/internal_proxy/treatment_health_score.csv,operating_performance,internal_proxy_treatment_kpi.csv,data_processed/internal_proxy/internal_proxy_treatment_kpi.csv,operating_fact_reference,internal_proxy,treatment_outlet_period,weekly_monthly_rolling,yes,aggregate operational KPIs to score inputs,high,0.70,minimum 4 weeks or 1 closed month,fall back to available shorter period with low confidence flag,score inputs must be within valid ranges,proxy_pending_design,core treatment scoring input
DEP_005,treatment_health_score,data_processed/internal_proxy/treatment_health_score.csv,external_demand_context,external_demand_proxy_index.csv,data_processed/internal_proxy/external_demand_proxy_index.csv,external_context_reference,external_proxy,market_period,weekly_monthly,no,apply market-demand context modifier,medium,0.10,minimum 1 market period,use neutral market context if unavailable,external proxy index should be bounded and standardized,proxy_pending_design,market pressure context
DEP_006,therapist_consistency_score,data_processed/internal_proxy/therapist_consistency_score.csv,therapist_operating_input,internal_proxy_therapist_kpi.csv,data_processed/internal_proxy/internal_proxy_therapist_kpi.csv,operating_fact_reference,internal_proxy,therapist_period,weekly_monthly_rolling,yes,compute rolling performance and variance stability,high,0.80,minimum 8 weeks or 3 months,insufficient sample -> low confidence band,variance and activity fields must be non-negative,proxy_pending_design,core therapist consistency input
DEP_007,therapist_consistency_score,data_processed/internal_proxy/therapist_consistency_score.csv,market_context_adjuster,external_demand_proxy_index.csv,data_processed/internal_proxy/external_demand_proxy_index.csv,external_context_reference,external_proxy,market_period,weekly_monthly,no,adjust fairness when demand is materially compressed,low,0.05,minimum 1 market period,use neutral fairness modifier if absent,market context join must resolve cleanly,proxy_pending_design,fairness context
DEP_008,therapist_consistency_score,data_processed/internal_proxy/therapist_consistency_score.csv,policy_context,utilization_assumption_policy.csv,data_processed/pricing_research/utilization_assumption_policy.csv,governance_reference,pricing_research,policy_line,static_snapshot,yes,apply productive utilization definition consistently,medium,reference_only,minimum 1 active policy row,stop build if utilization policy missing,policy title and status must be valid,policy_defined,metric definition governance
DEP_009,conflict_resolution_layer,data_processed/internal_proxy/conflict_resolution_layer.csv,pricing_and_market_context,final_treatment_pricing_master.csv,data_processed/pricing_research/final_treatment_pricing_master.csv,strategic_market_reference,pricing_research,treatment_duration,static_snapshot,yes,compare internal performance against pricing reference and governance,high,reference_only,minimum 1 pricing reference row,use benchmark summary fallback if needed,pricing join coverage must be high,review_controlled_governance,commercial conflict baseline
DEP_010,conflict_resolution_layer,data_processed/internal_proxy/conflict_resolution_layer.csv,operating_conflict_input,internal_proxy_treatment_kpi.csv,data_processed/internal_proxy/internal_proxy_treatment_kpi.csv,operating_fact_reference,internal_proxy,treatment_outlet_period,weekly_monthly_rolling,yes,detect KPI direction conflicts and tradeoff patterns,high,0.60,minimum 4 weeks or 1 month,flag low-confidence conflict when sample thin,conflict patterns must be from controlled code list,proxy_pending_design,core conflict engine input
DEP_011,conflict_resolution_layer,data_processed/internal_proxy/conflict_resolution_layer.csv,therapist_stability_context,therapist_consistency_score.csv,data_processed/internal_proxy/therapist_consistency_score.csv,scored_intelligence,internal_proxy,therapist_period,weekly_monthly_rolling,no,use therapist instability as supporting evidence for conflict patterns,medium,0.10,minimum 1 scored period,ignore therapist context if unavailable,consistency band must come from allowed values,derived_after_build,downstream therapist context
