pricing_master_id,variable_block_id,master_family,master_stage,is_final_approved_price,market_validation_id,commercial_decision_id,treatment_category,treatment_variant,session_duration_min,pricing_position,recommended_basis_used,recommended_sell_price_eur,pricing_floor_mid_eur,gap_vs_floor_eur,gap_vs_floor_pct,market_price_low_eur,market_price_median_eur,commercial_market_price_median_eur,market_price_high_eur,gap_vs_market_median_eur,gap_vs_market_median_pct,market_check_status,benchmark_methodology_status,commercial_decision_basis,governance_status,governance_note,price_architecture_flag,launch_recommendation_flag,execution_priority,benchmark_source_note,pricing_summary_note,decision_adjustment_note,formula_role,formula_placeholder,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
FTPM_001,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_001,TCD_001,aromatherapy,standard,60,premium_core,premium_mid,64.0,58.0,6.0,10.34,76.0,76.0,76.0,76.0,-12.0,-15.79,below_market_median,below_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch_with_upside_room,high,built from competitor_price_clean rows with exact_match,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_002,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_002,TCD_002,body_treatment,standard,60,premium_core,premium_mid,69.0,63.0,6.0,9.52,55.0,77.5,77.5,100.0,-8.5,-10.97,below_market_median,below_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with exact_match,Recommended sell price 69.00 EUR vs floor 63.00 EUR; priced below market median; premium core role.,recommended sell price sits below market median; may support penetration or accessibility strategy,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_003,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_003,TCD_003,deep_tissue,standard,60,premium_core,premium_mid,78.0,71.0,7.0,9.86,80.0,80.0,80.0,80.0,-2.0,-2.5,in_line_with_market_median,in_line_with_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with exact_match,Recommended sell price 78.00 EUR vs floor 71.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_004,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_004,TCD_004,facial,basic,60,premium_core,premium_mid,94.0,84.0,10.0,11.9,100.0,100.0,100.0,100.0,-6.0,-6.0,in_line_with_market_median,in_line_with_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with exact_match,Recommended sell price 94.00 EUR vs floor 84.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_005,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_005,TCD_005,hot_stone,standard,75,premium_core,premium_mid,95.0,86.0,9.0,10.47,90.0,90.0,90.0,90.0,5.0,5.56,in_line_with_market_median,in_line_with_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with near_match_duration,Recommended sell price 95.00 EUR vs floor 86.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_006,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_006,TCD_006,massage,standard,60,accessible_premium,standard_high,58.0,56.0,2.0,3.57,70.0,85.0,85.0,100.0,-27.0,-31.76,below_market_median,below_market_median,standard_market_validation_flow,standard_review_flow,,accessible_premium,launch_with_upside_room,high,built from competitor_price_clean rows with exact_match,Recommended sell price 58.00 EUR vs floor 56.00 EUR; priced below market median; accessible premium role.,recommended sell price sits below market median; may support penetration or accessibility strategy,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_007,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_007,TCD_007,reflexology,standard,45,traffic_builder,standard_high,34.0,32.0,2.0,6.25,50.0,75.0,75.0,100.0,-41.0,-54.67,below_market_median,below_market_median,standard_market_validation_flow,standard_review_flow,,traffic_builder,launch_as_entry_price,high,built from competitor_price_clean rows with near_match_duration,Recommended sell price 34.00 EUR vs floor 32.00 EUR; priced below market median; traffic-oriented entry role.,recommended sell price sits below market median; may support penetration or accessibility strategy,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_008,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_008,TCD_008,scrub,standard,45,premium_core,premium_mid,52.0,47.0,5.0,10.64,50.0,50.0,50.0,50.0,2.0,4.0,in_line_with_market_median,in_line_with_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with exact_match,Recommended sell price 52.00 EUR vs floor 47.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_009,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_009,TCD_009,swedish,standard,60,premium_core,premium_mid,64.0,58.0,6.0,10.34,69.5,69.5,69.5,69.5,-5.5,-7.91,in_line_with_market_median,in_line_with_market_median,standard_market_validation_flow,standard_review_flow,,premium_core,launch,medium,built from competitor_price_clean rows with exact_match,Recommended sell price 64.00 EUR vs floor 58.00 EUR; priced broadly in line with market median; premium core role.,recommended sell price is broadly aligned with market median benchmark,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff,assumption_defined
FTPM_010,V2BL_011,final_treatment_pricing_master,policy_first_placeholder,no,TMV_010,TCD_010,wrap,standard,60,premium_core,premium_mid,82.0,73.0,9.0,12.33,72.0,72.0,72.0,72.0,10.0,13.89,above_market_median,exact_only_locked,review_controlled_wrap_rule,review_required,wrap exact market fact locked at 72.00 EUR; commercial recommended sell price set to 82.00 EUR under review-controlled governance,premium_edge,review_before_launch,medium,wrap exact market fact locked to governance-approved baseline 72.0 EUR; additional exact observations retained outside fact baseline for decision-support only,Recommended sell price 82.00 EUR vs floor 73.00 EUR; priced above market median; premium core role.,recommended sell price sits above market median; validate brand strength and service differentiation before launch,final_pricing_master_rollup,"roll up internal recommendation, floor view, and market validation into one master sheet",treatment_market_validation_sheet.csv,recommended_price_floor_and_market_validation_rollup,channel_discount_tax_display_rule_final_psychological_rounding_live_launch_experiment,medium_low,needs_management_signoff,pricing_research,Malta,EUR,2026-01-01,,final pricing master is still pre-approval and depends on final competitor refinement and commercial signoff | wrap native governance rule applied: market fact locked at 72.00 EUR; sell price held at 82.00 EUR; launch remains review-controlled,assumption_defined
