pricing_floor_id,variable_block_id,engine_family,engine_stage,is_final_pricing_decision,direct_cost_id,treatment_category,treatment_variant,session_duration_min,direct_cost_low_eur,direct_cost_mid_eur,direct_cost_high_eur,target_margin_low_case,target_margin_mid_case,target_margin_high_case,pricing_floor_low_eur,pricing_floor_mid_eur,pricing_floor_high_eur,recommended_pricing_floor_basis,formula_role,formula_placeholder,margin_policy_method,linked_upstream_dependency,cost_scope_included,cost_scope_excluded,confidence_level,review_status,owner_function,market_context,currency,effective_from,effective_to,audit_note,status
TPF_001,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_001,aromatherapy,standard,60,15.36,20.21,25.57,0.58,0.65,0.7,51.0,58.0,61.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_002,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_002,body_treatment,standard,60,16.86,22.21,28.57,0.58,0.65,0.7,56.0,63.0,68.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_003,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_003,deep_tissue,standard,60,18.21,23.29,28.86,0.6,0.67,0.72,65.0,71.0,72.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_004,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_004,facial,basic,60,20.21,26.79,34.36,0.6,0.68,0.72,72.0,84.0,86.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_005,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_005,hot_stone,standard,75,23.14,30.11,37.57,0.58,0.65,0.7,77.0,86.0,89.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_006,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_006,massage,standard,60,15.36,19.71,24.57,0.58,0.65,0.7,51.0,56.0,58.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_007,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_007,reflexology,standard,45,10.07,12.18,15.28,0.55,0.62,0.68,31.0,32.0,34.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_008,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_008,scrub,standard,45,12.64,16.28,20.93,0.58,0.65,0.7,42.0,47.0,50.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_009,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_009,swedish,standard,60,15.36,20.21,25.57,0.58,0.65,0.7,51.0,58.0,61.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
TPF_010,V2BL_007,treatment_pricing_floor,policy_first_placeholder,no,TDC_010,wrap,standard,60,17.36,23.21,29.57,0.6,0.68,0.72,62.0,73.0,74.0,mid,pricing_floor_conversion,direct_cost / (1 - target_margin),treatment_category_default_margin_policy,treatment_direct_cost_engine.csv,direct_cost_based_floor_only,brand_premium_market_positioning_competitor_alignment_final_rounding_vat_policy,medium_low,needs_finance_commercial_validation,pricing_research,Malta,EUR,2026-01-01,,pricing floor is scenario-based placeholder derived from direct cost and target margin assumptions,assumption_defined
