scope,category,driver,value,unit,period,evidence_status,validation_status,source_document,data_as_of,model_version,owner,next_review,interpretation_boundary
valletta_flagship,staffing,permanent_employees,15,employees,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis and thesis-aligned workbook,2026-09-02,2.1,Spa Manager and Finance,Before commercial launch,Not an operating actual
valletta_flagship,staffing,permanent_therapist_capacity,9,FTE,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis and thesis-aligned workbook,2026-09-02,2.1,Spa Manager and Finance,Before commercial launch,Relief hours shown separately
valletta_flagship,staffing,relief_therapist_hours,593.333333,hours/year,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Spa Manager and Finance,Quarterly,Validate contract and loaded rate
valletta_flagship,operations,operating_days,365,days/year,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis and thesis-aligned workbook,2026-09-02,2.1,Spa Manager,Before commercial launch,Capacity allowance handles disruption
valletta_flagship,operations,opening_hours_per_day,12,hours/day,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis and thesis-aligned workbook,2026-09-02,2.1,Spa Manager,Before commercial launch,09:00-21:00
valletta_flagship,capacity,paid_hours_per_therapist,45,hours/FTE/week,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis and thesis-aligned workbook,2026-09-02,2.1,Spa Manager and HR,Before commercial launch,Employment and overtime validation required
valletta_flagship,capacity,non_bookable_allowance,0.22,ratio_of_scheduled_hours,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Spa Manager,Monthly after opening,Consultation setup breaks training and non-selling time
valletta_flagship,capacity,paid_utilisation,0.45,ratio_of_net_bookable_hours,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Spa Manager and Finance,Monthly after opening,Not guaranteed demand
valletta_flagship,capacity,treatment_rooms,6,rooms,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Final integrated thesis,2026-09-02,2.1,Spa Manager and Project Lead,Before site commitment,Includes flexible couples suite
valletta_flagship,commercial,property_share,0.15,ratio_of_eligible_net_service_revenue,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Finance and Owner,Before contract signature,Validate signed property agreement
valletta_flagship,commercial,payment_processing_fee,0.022,ratio_of_gross_customer_billings,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Finance,Before provider selection,Obtain current provider quotation
valletta_flagship,commercial,booking_channel_fee,0.03,ratio_of_eligible_gross_channel_billings,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Finance and Commercial,Before channel contract,Applied only to eligible channel share
valletta_flagship,tax,VAT_rate,0.18,ratio,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Finance and Tax Adviser,Before registration and filing,Licensed tax validation required
valletta_flagship,tax,corporate_income_tax_rate,0.35,ratio_of_chargeable_income,Year 1,PLANNING ASSUMPTION,VALIDATION REQUIRED,Thesis-aligned workbook,2026-09-02,2.1,Finance and Tax Adviser,Before funding approval,Planning charge before shareholder-specific treatment
